chat_id,patient_id,language,user_input,intent,timestamp
C00026,PID-990583,english,What trials are available for diabetes?,participation_request,2026-04-22 14:18:12.648804
C00027,PID-150849,english,Show me hypertension trials,general_info,2026-04-22 13:18:12.648804
C00028,PID-569350,telugu,Is there anything for migraines?,trial_inquiry,2026-04-22 12:18:12.648804
C00029,PID-615632,english,What is my eligibility status?,general_info,2026-04-22 11:18:12.648804
C00030,PID-123371,english,What is my eligibility status?,general_info,2026-04-22 10:18:12.648804
C00031,PID-244692,english,Can you help me find a doctor?,general_info,2026-04-22 09:18:12.648804
C00032,PID-674165,english,Is there anything for migraines?,participation_request,2026-04-22 08:18:12.648804
C00033,PID-507153,english,Show me hypertension trials,participation_request,2026-04-22 07:18:12.648804
C00034,PID-858125,english,Show me hypertension trials,eligibility_check,2026-04-22 06:18:12.648804
C00035,PID-824482,english,I want to participate in research,eligibility_check,2026-04-22 05:18:12.648804
C00036,PID-823005,english,What trials are available for diabetes?,eligibility_check,2026-04-22 04:18:12.648804
C00037,PID-997081,english,How do I join a trial?,participation_request,2026-04-22 03:18:12.648804
C00038,PID-191389,hindi,How do I join a trial?,participation_request,2026-04-22 02:18:12.648804
C00039,PID-986436,english,Can you help me find a doctor?,eligibility_check,2026-04-22 01:18:12.648804
C00040,PID-688564,english,Is there anything for migraines?,participation_request,2026-04-22 00:18:12.648804
C00041,PID-136980,english,Show me hypertension trials,eligibility_check,2026-04-21 23:18:12.648804
C00042,PID-500157,hindi,Show me hypertension trials,eligibility_check,2026-04-21 22:18:12.648804
C00043,PID-448369,telugu,Tell me about cancer research,eligibility_check,2026-04-21 21:18:12.648804
C00044,PID-132785,english,Show me hypertension trials,trial_inquiry,2026-04-21 20:18:12.648804
C00045,PID-377660,english,Show me hypertension trials,eligibility_check,2026-04-21 19:18:12.648804
C00046,PID-726502,kannada,I want to participate in research,eligibility_check,2026-04-21 18:18:12.648804
C00047,PID-807936,english,What is my eligibility status?,general_info,2026-04-21 17:18:12.648804
C00048,PID-800126,english,Can you help me find a doctor?,trial_inquiry,2026-04-21 16:18:12.648804
C00049,PID-768640,english,How do I join a trial?,trial_inquiry,2026-04-21 15:18:12.648804
C00050,PID-314950,kannada,Can you help me find a doctor?,trial_inquiry,2026-04-21 14:18:12.648804
C00051,PID-808804,telugu,Am I eligible for heart disease study?,trial_inquiry,2026-04-21 13:18:12.648804
C00052,PID-482010,english,Am I eligible for heart disease study?,trial_inquiry,2026-04-21 12:18:12.648804
C00053,PID-770718,telugu,How do I join a trial?,trial_inquiry,2026-04-21 11:18:12.648804
C00054,PID-630394,kannada,Am I eligible for heart disease study?,eligibility_check,2026-04-21 10:18:12.648804
C00055,PID-451635,english,Am I eligible for heart disease study?,eligibility_check,2026-04-21 09:18:12.648804
C00056,PID-399645,english,I want to participate in research,participation_request,2026-04-21 08:18:12.648804
C00057,PID-553496,english,How do I join a trial?,participation_request,2026-04-21 07:18:12.648804
C00058,PID-415578,telugu,I want to participate in research,participation_request,2026-04-21 06:18:12.648804
C00059,PID-330912,english,Tell me about cancer research,trial_inquiry,2026-04-21 05:18:12.648804
C00060,PID-134723,kannada,Am I eligible for heart disease study?,participation_request,2026-04-21 04:18:12.648804
C00061,PID-287127,english,What are the requirements?,eligibility_check,2026-04-21 03:18:12.648804
C00062,PID-447940,telugu,What is my eligibility status?,trial_inquiry,2026-04-21 02:18:12.648804
C00063,PID-411666,english,How do I join a trial?,eligibility_check,2026-04-21 01:18:12.648804
C00064,PID-918914,kannada,Tell me about cancer research,trial_inquiry,2026-04-21 00:18:12.648804
C00065,PID-748110,english,What is my eligibility status?,trial_inquiry,2026-04-20 23:18:12.648804
C00066,PID-341759,hindi,Can you help me find a doctor?,participation_request,2026-04-20 22:18:12.648804
C00067,PID-324408,english,Is there anything for migraines?,trial_inquiry,2026-04-20 21:18:12.648804
C00068,PID-599157,hindi,Show me hypertension trials,eligibility_check,2026-04-20 20:18:12.648804
C00069,PID-564798,english,I want to participate in research,participation_request,2026-04-20 19:18:12.648804
C00070,PID-774706,english,How do I join a trial?,participation_request,2026-04-20 18:18:12.648804
C00071,PID-477614,telugu,Tell me about cancer research,eligibility_check,2026-04-20 17:18:12.648804
C00072,PID-217351,hindi,Show me hypertension trials,trial_inquiry,2026-04-20 16:18:12.648804
C00073,PID-226260,english,What trials are available for diabetes?,eligibility_check,2026-04-20 15:18:12.648804
C00074,PID-257804,english,How do I join a trial?,trial_inquiry,2026-04-20 14:18:12.648804
C00075,PID-796592,kannada,Tell me about cancer research,eligibility_check,2026-04-20 13:18:12.648804
C00076,PID-194265,kannada,Can you help me find a doctor?,trial_inquiry,2026-04-20 12:18:12.648804
C00077,PID-258514,english,How do I join a trial?,trial_inquiry,2026-04-20 11:18:12.648804
C00078,PID-144670,hindi,What are the requirements?,general_info,2026-04-20 10:18:12.648804
C00079,PID-925798,english,What are the requirements?,eligibility_check,2026-04-20 09:18:12.648804
C00080,PID-520730,english,What is my eligibility status?,eligibility_check,2026-04-20 08:18:12.648804
C00081,PID-118725,english,Can you help me find a doctor?,eligibility_check,2026-04-20 07:18:12.648804
C00082,PID-237263,english,Can you help me find a doctor?,eligibility_check,2026-04-20 06:18:12.648804
C00083,PID-570166,telugu,Is there anything for migraines?,trial_inquiry,2026-04-20 05:18:12.648804
C00084,PID-284256,english,Can you help me find a doctor?,participation_request,2026-04-20 04:18:12.648804
C00085,PID-968981,hindi,Show me hypertension trials,eligibility_check,2026-04-20 03:18:12.648804
C00086,PID-239056,english,How do I join a trial?,trial_inquiry,2026-04-20 02:18:12.648804
C00087,PID-164729,english,I want to participate in research,general_info,2026-04-20 01:18:12.648804
C00088,PID-103990,hindi,Is there anything for migraines?,trial_inquiry,2026-04-20 00:18:12.648804
C00089,PID-643825,english,Am I eligible for heart disease study?,trial_inquiry,2026-04-19 23:18:12.648804
C00090,PID-523139,hindi,Is there anything for migraines?,trial_inquiry,2026-04-19 22:18:12.648804
C00091,PID-474060,english,How do I join a trial?,general_info,2026-04-19 21:18:12.648804
C00092,PID-194797,english,What are the requirements?,participation_request,2026-04-19 20:18:12.648804
C00093,PID-997419,english,What trials are available for diabetes?,participation_request,2026-04-19 19:18:12.648804
C00094,PID-535643,hindi,Show me hypertension trials,eligibility_check,2026-04-19 18:18:12.648804
C00095,PID-755638,english,How do I join a trial?,eligibility_check,2026-04-19 17:18:12.648804
C00096,PID-891721,kannada,Is there anything for migraines?,general_info,2026-04-19 16:18:12.648804
C00097,PID-553156,kannada,Is there anything for migraines?,participation_request,2026-04-19 15:18:12.648804
C00098,PID-823607,telugu,What is my eligibility status?,general_info,2026-04-19 14:18:12.648804
C00099,PID-554886,english,What is my eligibility status?,eligibility_check,2026-04-19 13:18:12.648804
C00100,PID-199970,hindi,Is there anything for migraines?,eligibility_check,2026-04-19 12:18:12.648804
C00101,PID-788833,english,What trials are available for diabetes?,eligibility_check,2026-04-19 11:18:12.648804
C00102,PID-986270,english,Am I eligible for heart disease study?,participation_request,2026-04-19 10:18:12.648804
C00103,PID-641810,english,Tell me about cancer research,participation_request,2026-04-19 09:18:12.648804
C00104,PID-550745,hindi,What is my eligibility status?,trial_inquiry,2026-04-19 08:18:12.648804
C00105,PID-396646,english,Is there anything for migraines?,participation_request,2026-04-19 07:18:12.648804
C00106,PID-206112,english,What are the requirements?,general_info,2026-04-19 06:18:12.648804
C00107,PID-202188,english,Am I eligible for heart disease study?,eligibility_check,2026-04-19 05:18:12.648804
C00108,PID-637070,hindi,How do I join a trial?,general_info,2026-04-19 04:18:12.648804
C00109,PID-355320,english,Am I eligible for heart disease study?,trial_inquiry,2026-04-19 03:18:12.648804
C00110,PID-895182,english,Am I eligible for heart disease study?,eligibility_check,2026-04-19 02:18:12.648804
C00111,PID-295143,hindi,Can you help me find a doctor?,participation_request,2026-04-19 01:18:12.648804
C00112,PID-561432,english,Is there anything for migraines?,trial_inquiry,2026-04-19 00:18:12.648804
C00113,PID-269510,english,I want to participate in research,general_info,2026-04-18 23:18:12.648804
C00114,PID-267990,hindi,What are the requirements?,participation_request,2026-04-18 22:18:12.648804
C00115,PID-892826,hindi,Am I eligible for heart disease study?,trial_inquiry,2026-04-18 21:18:12.648804
C00116,PID-353215,hindi,How do I join a trial?,general_info,2026-04-18 20:18:12.648804
C00117,PID-657612,hindi,Can you help me find a doctor?,general_info,2026-04-18 19:18:12.648804
C00118,PID-459118,english,What is my eligibility status?,trial_inquiry,2026-04-18 18:18:12.648804
C00119,PID-520267,english,How do I join a trial?,participation_request,2026-04-18 17:18:12.648804
C00120,PID-699916,english,What is my eligibility status?,general_info,2026-04-18 16:18:12.648804
C00121,PID-343601,english,Tell me about cancer research,participation_request,2026-04-18 15:18:12.648804
C00122,PID-799937,telugu,Am I eligible for heart disease study?,participation_request,2026-04-18 14:18:12.648804
C00123,PID-482975,english,Is there anything for migraines?,eligibility_check,2026-04-18 13:18:12.648804
C00124,PID-921972,kannada,Am I eligible for heart disease study?,general_info,2026-04-18 12:18:12.648804
C00125,PID-642350,telugu,Tell me about cancer research,eligibility_check,2026-04-18 11:18:12.648804
C00126,PID-930283,english,Is there anything for migraines?,eligibility_check,2026-04-18 10:18:12.648804
C00127,PID-817327,hindi,What is my eligibility status?,general_info,2026-04-18 09:18:12.648804
C00128,PID-276643,english,Tell me about cancer research,trial_inquiry,2026-04-18 08:18:12.648804
C00129,PID-200740,english,What is my eligibility status?,general_info,2026-04-18 07:18:12.648804
C00130,PID-456314,hindi,Can you help me find a doctor?,eligibility_check,2026-04-18 06:18:12.648804
C00131,PID-352266,kannada,Show me hypertension trials,participation_request,2026-04-18 05:18:12.648804
C00132,PID-996019,english,What trials are available for diabetes?,eligibility_check,2026-04-18 04:18:12.648804
C00133,PID-208547,telugu,Can you help me find a doctor?,trial_inquiry,2026-04-18 03:18:12.648804
C00134,PID-200139,english,What trials are available for diabetes?,trial_inquiry,2026-04-18 02:18:12.648804
C00135,PID-602513,kannada,What trials are available for diabetes?,eligibility_check,2026-04-18 01:18:12.648804
C00136,PID-665895,hindi,What trials are available for diabetes?,trial_inquiry,2026-04-18 00:18:12.648804
C00137,PID-156031,telugu,How do I join a trial?,participation_request,2026-04-17 23:18:12.648804
C00138,PID-675733,english,Am I eligible for heart disease study?,trial_inquiry,2026-04-17 22:18:12.648804
C00139,PID-340613,english,I want to participate in research,general_info,2026-04-17 21:18:12.648804
C00140,PID-673268,hindi,Tell me about cancer research,participation_request,2026-04-17 20:18:12.648804
C00141,PID-105766,english,What is my eligibility status?,eligibility_check,2026-04-17 19:18:12.648804
C00142,PID-509248,english,Can you help me find a doctor?,general_info,2026-04-17 18:18:12.648804
C00143,PID-167242,hindi,Can you help me find a doctor?,eligibility_check,2026-04-17 17:18:12.648804
C00144,PID-594238,english,What trials are available for diabetes?,eligibility_check,2026-04-17 16:18:12.648804
C00145,PID-785196,hindi,I want to participate in research,general_info,2026-04-17 15:18:12.648804
C00146,PID-703623,english,What trials are available for diabetes?,eligibility_check,2026-04-17 14:18:12.648804
C00147,PID-548872,telugu,Show me hypertension trials,general_info,2026-04-17 13:18:12.648804
C00148,PID-642994,english,What is my eligibility status?,participation_request,2026-04-17 12:18:12.648804
C00149,PID-997282,english,What is my eligibility status?,eligibility_check,2026-04-17 11:18:12.648804
C00150,PID-187436,english,How do I join a trial?,general_info,2026-04-17 10:18:12.648804
C00151,PID-329855,hindi,Is there anything for migraines?,participation_request,2026-04-17 09:18:12.648804
C00152,PID-722618,english,Show me hypertension trials,eligibility_check,2026-04-17 08:18:12.648804
C00153,PID-888418,english,Am I eligible for heart disease study?,participation_request,2026-04-17 07:18:12.648804
C00154,PID-499793,telugu,Is there anything for migraines?,general_info,2026-04-17 06:18:12.648804
C00155,PID-568280,english,Tell me about cancer research,eligibility_check,2026-04-17 05:18:12.648804
C00156,PID-422339,telugu,Show me hypertension trials,participation_request,2026-04-17 04:18:12.648804
C00157,PID-912622,kannada,How do I join a trial?,eligibility_check,2026-04-17 03:18:12.648804
C00158,PID-634655,english,How do I join a trial?,eligibility_check,2026-04-17 02:18:12.648804
C00159,PID-327061,english,I want to participate in research,general_info,2026-04-17 01:18:12.648804
C00160,PID-918688,english,Is there anything for migraines?,eligibility_check,2026-04-17 00:18:12.648804
C00161,PID-466654,hindi,Am I eligible for heart disease study?,participation_request,2026-04-16 23:18:12.648804
C00162,PID-499434,hindi,What trials are available for diabetes?,general_info,2026-04-16 22:18:12.648804
C00163,PID-250014,kannada,How do I join a trial?,participation_request,2026-04-16 21:18:12.648804
C00164,PID-718030,english,Can you help me find a doctor?,trial_inquiry,2026-04-16 20:18:12.648804
C00165,PID-928337,hindi,What is my eligibility status?,general_info,2026-04-16 19:18:12.648804
C00166,PID-238201,kannada,How do I join a trial?,general_info,2026-04-16 18:18:12.648804
C00167,PID-963612,hindi,Tell me about cancer research,trial_inquiry,2026-04-16 17:18:12.648804
C00168,PID-456581,english,Is there anything for migraines?,eligibility_check,2026-04-16 16:18:12.648804
C00169,PID-999152,english,What are the requirements?,trial_inquiry,2026-04-16 15:18:12.648804
C00170,PID-303623,english,Is there anything for migraines?,participation_request,2026-04-16 14:18:12.648804
C00171,PID-747277,english,Is there anything for migraines?,trial_inquiry,2026-04-16 13:18:12.648804
C00172,PID-382388,english,I want to participate in research,eligibility_check,2026-04-16 12:18:12.648804
C00173,PID-951546,hindi,What is my eligibility status?,participation_request,2026-04-16 11:18:12.648804
C00174,PID-707908,english,What is my eligibility status?,general_info,2026-04-16 10:18:12.648804
C00175,PID-957993,english,Show me hypertension trials,general_info,2026-04-16 09:18:12.648804
C00176,PID-259411,english,Show me hypertension trials,general_info,2026-04-16 08:18:12.648804
C00177,PID-263473,telugu,What trials are available for diabetes?,eligibility_check,2026-04-16 07:18:12.648804
C00178,PID-408979,english,What is my eligibility status?,eligibility_check,2026-04-16 06:18:12.648804
C00179,PID-779303,hindi,Tell me about cancer research,participation_request,2026-04-16 05:18:12.648804
C00180,PID-527051,hindi,Is there anything for migraines?,general_info,2026-04-16 04:18:12.648804
C00181,PID-129882,kannada,Show me hypertension trials,participation_request,2026-04-16 03:18:12.648804
C00182,PID-911301,english,Am I eligible for heart disease study?,general_info,2026-04-16 02:18:12.648804
C00183,PID-339437,english,Tell me about cancer research,eligibility_check,2026-04-16 01:18:12.648804
C00184,PID-419807,telugu,Am I eligible for heart disease study?,trial_inquiry,2026-04-16 00:18:12.648804
C00185,PID-307359,english,Tell me about cancer research,participation_request,2026-04-15 23:18:12.648804
C00186,PID-717659,english,I want to participate in research,participation_request,2026-04-15 22:18:12.648804
C00187,PID-265516,hindi,What are the requirements?,eligibility_check,2026-04-15 21:18:12.648804
C00188,PID-967954,english,What is my eligibility status?,participation_request,2026-04-15 20:18:12.648804
C00189,PID-255887,hindi,What are the requirements?,eligibility_check,2026-04-15 19:18:12.648804
C00190,PID-911872,english,Am I eligible for heart disease study?,participation_request,2026-04-15 18:18:12.648804
C00191,PID-969887,english,What is my eligibility status?,general_info,2026-04-15 17:18:12.648804
C00192,PID-759020,english,Show me hypertension trials,trial_inquiry,2026-04-15 16:18:12.648804
C00193,PID-963619,hindi,What is my eligibility status?,participation_request,2026-04-15 15:18:12.648804
C00194,PID-505288,english,I want to participate in research,eligibility_check,2026-04-15 14:18:12.648804
C00195,PID-625359,telugu,What are the requirements?,eligibility_check,2026-04-15 13:18:12.648804
C00196,PID-303631,english,Am I eligible for heart disease study?,eligibility_check,2026-04-15 12:18:12.648804
C00197,PID-598373,kannada,Can you help me find a doctor?,trial_inquiry,2026-04-15 11:18:12.648804
C00198,PID-986315,english,Show me hypertension trials,general_info,2026-04-15 10:18:12.648804
C00199,PID-250383,telugu,Is there anything for migraines?,general_info,2026-04-15 09:18:12.648804
C00200,PID-535397,english,What is my eligibility status?,participation_request,2026-04-15 08:18:12.648804
C00201,PID-631152,english,What is my eligibility status?,general_info,2026-04-15 07:18:12.648804
C00202,PID-363299,hindi,How do I join a trial?,participation_request,2026-04-15 06:18:12.648804
C00203,PID-948494,english,What is my eligibility status?,general_info,2026-04-15 05:18:12.648804
C00204,PID-765590,english,Am I eligible for heart disease study?,eligibility_check,2026-04-15 04:18:12.648804
C00205,PID-711449,english,Am I eligible for heart disease study?,participation_request,2026-04-15 03:18:12.648804
C00206,PID-597224,english,Can you help me find a doctor?,eligibility_check,2026-04-15 02:18:12.648804
C00207,PID-112319,kannada,Show me hypertension trials,trial_inquiry,2026-04-15 01:18:12.648804
C00208,PID-108119,telugu,What are the requirements?,general_info,2026-04-15 00:18:12.648804
C00209,PID-102820,english,Show me hypertension trials,general_info,2026-04-14 23:18:12.648804
C00210,PID-277870,english,Tell me about cancer research,eligibility_check,2026-04-14 22:18:12.648804
C00211,PID-557169,hindi,Tell me about cancer research,trial_inquiry,2026-04-14 21:18:12.648804
C00212,PID-882793,english,What is my eligibility status?,eligibility_check,2026-04-14 20:18:12.648804
C00213,PID-132843,kannada,Tell me about cancer research,general_info,2026-04-14 19:18:12.648804
C00214,PID-339120,hindi,How do I join a trial?,eligibility_check,2026-04-14 18:18:12.648804
C00215,PID-308441,english,Tell me about cancer research,participation_request,2026-04-14 17:18:12.648804
C00216,PID-478353,english,Am I eligible for heart disease study?,participation_request,2026-04-14 16:18:12.648804
C00217,PID-983146,english,I want to participate in research,participation_request,2026-04-14 15:18:12.648804
C00218,PID-773055,english,What is my eligibility status?,general_info,2026-04-14 14:18:12.648804
C00219,PID-794857,english,What trials are available for diabetes?,general_info,2026-04-14 13:18:12.648804
C00220,PID-306002,english,Can you help me find a doctor?,general_info,2026-04-14 12:18:12.648804
C00221,PID-346629,english,How do I join a trial?,general_info,2026-04-14 11:18:12.648804
C00222,PID-227473,english,What trials are available for diabetes?,participation_request,2026-04-14 10:18:12.648804
C00223,PID-560257,english,What are the requirements?,general_info,2026-04-14 09:18:12.648804
C00224,PID-371062,english,I want to participate in research,participation_request,2026-04-14 08:18:12.648804
C00225,PID-642592,hindi,Is there anything for migraines?,trial_inquiry,2026-04-14 07:18:12.648804
C00226,PID-447328,hindi,Tell me about cancer research,eligibility_check,2026-04-14 06:18:12.648804
C00227,PID-430796,english,Can you help me find a doctor?,general_info,2026-04-14 05:18:12.648804
C00228,PID-925094,english,Is there anything for migraines?,trial_inquiry,2026-04-14 04:18:12.648804
C00229,PID-719192,english,Tell me about cancer research,trial_inquiry,2026-04-14 03:18:12.648804
C00230,PID-849356,english,How do I join a trial?,participation_request,2026-04-14 02:18:12.648804
C00231,PID-430855,english,How do I join a trial?,general_info,2026-04-14 01:18:12.648804
C00232,PID-186551,english,What is my eligibility status?,general_info,2026-04-14 00:18:12.648804
C00233,PID-340336,english,I want to participate in research,eligibility_check,2026-04-13 23:18:12.648804
C00234,PID-377480,kannada,What trials are available for diabetes?,participation_request,2026-04-13 22:18:12.648804
C00235,PID-928847,kannada,I want to participate in research,participation_request,2026-04-13 21:18:12.648804
C00236,PID-852638,english,What trials are available for diabetes?,participation_request,2026-04-13 20:18:12.648804
C00237,PID-146075,english,Am I eligible for heart disease study?,participation_request,2026-04-13 19:18:12.648804
C00238,PID-883984,english,Can you help me find a doctor?,trial_inquiry,2026-04-13 18:18:12.648804
C00239,PID-626146,english,Show me hypertension trials,eligibility_check,2026-04-13 17:18:12.648804
C00240,PID-121302,kannada,How do I join a trial?,participation_request,2026-04-13 16:18:12.648804
C00241,PID-559787,english,What is my eligibility status?,trial_inquiry,2026-04-13 15:18:12.648804
C00242,PID-812201,hindi,Tell me about cancer research,general_info,2026-04-13 14:18:12.648804
C00243,PID-261375,hindi,Can you help me find a doctor?,general_info,2026-04-13 13:18:12.648804
C00244,PID-975603,english,Show me hypertension trials,eligibility_check,2026-04-13 12:18:12.648804
C00245,PID-470667,english,How do I join a trial?,general_info,2026-04-13 11:18:12.648804
C00246,PID-850184,english,What trials are available for diabetes?,trial_inquiry,2026-04-13 10:18:12.648804
C00247,PID-831232,hindi,What are the requirements?,general_info,2026-04-13 09:18:12.648804
C00248,PID-660537,english,What is my eligibility status?,participation_request,2026-04-13 08:18:12.648804
C00249,PID-679766,hindi,Can you help me find a doctor?,trial_inquiry,2026-04-13 07:18:12.648804
C00250,PID-442371,hindi,Can you help me find a doctor?,general_info,2026-04-13 06:18:12.648804
C00251,PID-245667,english,I want to participate in research,trial_inquiry,2026-04-13 05:18:12.648804
C00252,PID-247027,english,Am I eligible for heart disease study?,participation_request,2026-04-13 04:18:12.648804
C00253,PID-516476,english,Is there anything for migraines?,trial_inquiry,2026-04-13 03:18:12.648804
C00254,PID-201061,english,Is there anything for migraines?,eligibility_check,2026-04-13 02:18:12.648804
C00255,PID-391731,kannada,What is my eligibility status?,participation_request,2026-04-13 01:18:12.648804
C00256,PID-899166,english,What are the requirements?,eligibility_check,2026-04-13 00:18:12.648804
C00257,PID-313422,english,How do I join a trial?,participation_request,2026-04-12 23:18:12.648804
C00258,PID-864795,kannada,I want to participate in research,participation_request,2026-04-12 22:18:12.648804
C00259,PID-207338,kannada,What are the requirements?,participation_request,2026-04-12 21:18:12.648804
C00260,PID-641172,kannada,What is my eligibility status?,eligibility_check,2026-04-12 20:18:12.648804
C00261,PID-601132,hindi,What are the requirements?,trial_inquiry,2026-04-12 19:18:12.648804
C00262,PID-866197,english,What is my eligibility status?,trial_inquiry,2026-04-12 18:18:12.648804
C00263,PID-464669,english,Tell me about cancer research,general_info,2026-04-12 17:18:12.648804
C00264,PID-717292,telugu,Tell me about cancer research,general_info,2026-04-12 16:18:12.648804
C00265,PID-643662,english,How do I join a trial?,general_info,2026-04-12 15:18:12.648804
C00266,PID-322530,english,I want to participate in research,general_info,2026-04-12 14:18:12.648804
C00267,PID-849562,english,I want to participate in research,general_info,2026-04-12 13:18:12.648804
C00268,PID-231832,english,What is my eligibility status?,eligibility_check,2026-04-12 12:18:12.648804
C00269,PID-509589,english,I want to participate in research,participation_request,2026-04-12 11:18:12.648804
C00270,PID-801610,english,Show me hypertension trials,general_info,2026-04-12 10:18:12.648804
C00271,PID-729874,english,Tell me about cancer research,general_info,2026-04-12 09:18:12.648804
C00272,PID-801295,hindi,Can you help me find a doctor?,general_info,2026-04-12 08:18:12.648804
C00273,PID-346870,english,I want to participate in research,participation_request,2026-04-12 07:18:12.648804
C00274,PID-527801,english,Show me hypertension trials,eligibility_check,2026-04-12 06:18:12.648804
C00275,PID-988192,english,Show me hypertension trials,general_info,2026-04-12 05:18:12.648804
C00276,PID-922333,english,What trials are available for diabetes?,trial_inquiry,2026-04-12 04:18:12.648804
C00277,PID-152314,hindi,What trials are available for diabetes?,trial_inquiry,2026-04-12 03:18:12.648804
C00278,PID-588646,english,Can you help me find a doctor?,eligibility_check,2026-04-12 02:18:12.648804
C00279,PID-538351,hindi,What trials are available for diabetes?,participation_request,2026-04-12 01:18:12.648804
C00280,PID-233878,hindi,Is there anything for migraines?,participation_request,2026-04-12 00:18:12.648804
C00281,PID-549573,english,What trials are available for diabetes?,eligibility_check,2026-04-11 23:18:12.648804
C00282,PID-102127,hindi,I want to participate in research,eligibility_check,2026-04-11 22:18:12.648804
C00283,PID-809898,hindi,Tell me about cancer research,eligibility_check,2026-04-11 21:18:12.648804
C00284,PID-765827,english,What are the requirements?,general_info,2026-04-11 20:18:12.648804
C00285,PID-770871,kannada,Can you help me find a doctor?,eligibility_check,2026-04-11 19:18:12.648804
C00286,PID-927365,english,Is there anything for migraines?,trial_inquiry,2026-04-11 18:18:12.648804
C00287,PID-275237,english,I want to participate in research,eligibility_check,2026-04-11 17:18:12.648804
C00288,PID-904465,english,Show me hypertension trials,general_info,2026-04-11 16:18:12.648804
C00289,PID-837699,hindi,Tell me about cancer research,eligibility_check,2026-04-11 15:18:12.648804
C00290,PID-857496,telugu,Can you help me find a doctor?,general_info,2026-04-11 14:18:12.648804
C00291,PID-152206,english,Am I eligible for heart disease study?,eligibility_check,2026-04-11 13:18:12.648804
C00292,PID-148741,hindi,Am I eligible for heart disease study?,eligibility_check,2026-04-11 12:18:12.648804
C00293,PID-201780,telugu,What are the requirements?,general_info,2026-04-11 11:18:12.648804
C00294,PID-916319,telugu,Tell me about cancer research,trial_inquiry,2026-04-11 10:18:12.648804
C00295,PID-258969,hindi,Tell me about cancer research,trial_inquiry,2026-04-11 09:18:12.648804
C00296,PID-843077,kannada,I want to participate in research,participation_request,2026-04-11 08:18:12.648804
C00297,PID-800659,english,What is my eligibility status?,participation_request,2026-04-11 07:18:12.648804
C00298,PID-430927,english,What are the requirements?,participation_request,2026-04-11 06:18:12.648804
C00299,PID-444046,english,I want to participate in research,general_info,2026-04-11 05:18:12.648804
C00300,PID-449034,english,Can you help me find a doctor?,trial_inquiry,2026-04-11 04:18:12.648804
C00301,PID-119558,kannada,Am I eligible for heart disease study?,eligibility_check,2026-04-11 03:18:12.648804
C00302,PID-251817,english,Show me hypertension trials,general_info,2026-04-11 02:18:12.648804
C00303,PID-180780,english,Show me hypertension trials,eligibility_check,2026-04-11 01:18:12.648804
C00304,PID-886212,english,Can you help me find a doctor?,participation_request,2026-04-11 00:18:12.648804
C00305,PID-830702,hindi,What are the requirements?,trial_inquiry,2026-04-10 23:18:12.648804
C00306,PID-458608,english,Can you help me find a doctor?,participation_request,2026-04-10 22:18:12.648804
C00307,PID-973089,kannada,Am I eligible for heart disease study?,eligibility_check,2026-04-10 21:18:12.648804
C00308,PID-486379,english,What is my eligibility status?,trial_inquiry,2026-04-10 20:18:12.648804
C00309,PID-743924,telugu,Tell me about cancer research,general_info,2026-04-10 19:18:12.648804
